Temps	V1	Temps	V2	Fréquence	S_Amplitude
0.00189	-0.445032350253314	0.00189	-1.13462639693171		
0.001895	-0.41728253941983	0.001895	-1.1567398654297		
0.0019	-0.345133031252772	0.0019	-1.17885333392769		
0.001905	-0.234133787918836	0.001905	-1.20649516955018		
0.00191	-0.0953847337514162	0.00191	-1.23413700517267		
0.001915	0.054464244749397	0.001915	-1.25625047367066		
0.00192	0.20431322325021	0.00192	-1.27836394216865		
0.001925	0.348612239584327	0.001925	-1.31153414491564		
0.00193	0.454061520751566	0.00193	-1.32811924628913		
0.001935	0.520661066751927	0.001935	-1.35023271478713		
0.00194	0.537310953252017	0.00194	-1.37787455040962		
0.001945	0.49846121808514	0.001945	-1.39998801890761		
0.00195	0.404111861251295	0.00195	-1.4221014874056		
0.001955	0.282012693583965	0.001955	-1.44421495590359		
0.00196	0.115513828583062	0.00196	-1.46080005727708		
0.001965	-0.0676349229179323	0.001965	-1.48291352577507		
0.00197	-0.245233712252229	0.00197	-1.50502699427307		
0.001975	-0.400632652919739	0.001975	-1.52161209564656		
0.00198	-0.528281782753766	0.00198	-1.54925393126905		
0.001985	-0.605981253087521	0.001985	-1.56583903264254		
0.00199	-0.622631139587611	0.00199	-1.58795250114053		
0.001995	-0.578231442254037	0.001995	-1.61006596963853		
0.002	-0.472782161086798	0.002	-1.62665107101202		
0.002005	-0.322933182585984	0.002005	-1.64876453951001		
0.00201	-0.128684506751597	0.00201	-1.66534964088351		
0.002015	0.0766640934161842	0.002015	-1.681934742257		
0.00202	0.276462731417269	0.00202	-1.69851984363049		
0.002025	0.454061520751566	0.002025	-1.72063331212848		
0.00203	0.598360537085682	0.00203	-1.72616167925298		
0.002035	0.681609969586134	0.002035	-1.74827514775097		
0.00204	0.692709893919528	0.00204	-1.75933188199997		
0.002045	0.642760234419256	0.002045	-1.77591698337346		
0.00205	0.520661066751927	0.00205	-1.78697371762246		
0.002055	0.354162201751024	0.002055	-1.80355881899595		
0.00206	0.143263639416546	0.00206	-1.81461555324495		
0.002065	-0.0787348472513258	0.002065	-1.82567228749394		
0.00207	-0.295183371752501	0.00207	-1.83672902174294		
0.002075	-0.483882085420191	0.002075	-1.84778575599194		
0.00208	-0.628181101754308	0.00208	-1.85884249024093		
0.002085	-0.722530458588153	0.002085	-1.86989922448993		
0.00209	-0.739180345088243	0.00209	-1.88095595873892		
0.002095	-0.678130761254579	0.002095	-1.89754106011242		
0.0021	-0.550481631420553	0.0021	-1.90306942723691		
0.002105	-0.372882842086256	0.002105	-1.91412616148591		
0.00211	-0.150884355418384	0.00211	-1.92518289573491		
0.002115	0.082214055582881	0.002115	-1.9362396299839		
0.00212	0.315312466584146	0.00212	-1.9472963642329		
0.002125	0.520661066751927	0.002125	-1.9528247313574		
0.00213	0.67051004525274	0.00213	-1.96388146560639		
0.002135	0.764859402086586	0.002135	-1.96940983273089		
0.00214	0.781509288586676	0.00214	-1.97493819985539		
0.002145	0.709359780419618	0.002145	-1.98599493410438		
0.00215	0.581710650585592	0.00215	-1.98599493410438		
0.002155	0.393011936917901	0.002155	-1.99152330122888		
0.00216	0.159913525916636	0.00216	-1.99705166835338		
0.002165	-0.0842848094180226	0.002165	-2.00258003547788		
0.00217	-0.322933182585984	0.00217	-2.00258003547788		
0.002175	-0.528281782753766	0.002175	-2.00810840260237		
0.00218	-0.683680723421276	0.00218	-2.00810840260237		
0.002185	-0.778030080255121	0.002185	-2.01363676972687		
0.00219	-0.789130004588515	0.00219	-2.01363676972687		
